sample_id,cs_br_concentration,pb_br2_concentration,temperature,solvent_type,oa_concentration,oam_concentration,reaction_time,phase_label,bandgap,plqy,emission_peak,emission_fwhm,particle_size,size_distribution_width,lifetime,stability_score,phase_purity
0,1.33,1.47,118.8,1,0.457,0.204,17.1,4,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.69,0.81
1,2.08,0.6,171.0,3,0.068,0.426,27.0,3,2.8,0.616,487.9,13.5,7.7,0.41,6.2,0.64,0.6
2,2.15,1.26,163.5,0,0.341,0.121,17.2,0,2.41,0.772,511.3,21.2,9.4,0.45,11.7,0.55,0.81
3,0.6,1.78,178.0,1,0.429,0.324,21.9,2,2.88,0.552,480.7,20.0,8.3,0.47,4.7,0.82,0.92
4,0.52,0.88,180.5,2,0.356,0.355,11.9,2,3.13,0.331,451.9,18.8,8.3,0.39,7.3,0.79,0.8
5,2.5,1.95,183.9,4,0.324,0.305,12.5,0,2.57,0.917,507.4,19.7,6.9,0.47,22.9,0.65,0.83
6,2.03,1.85,180.5,4,0.202,0.16,8.5,3,2.35,0.352,497.0,19.7,7.9,0.5,2.4,0.91,0.6
7,1.19,1.57,168.6,3,0.453,0.336,17.7,2,3.06,0.292,465.4,21.3,7.3,0.28,5.6,0.9,0.95
8,0.87,1.52,133.6,0,0.111,0.112,26.8,0,2.37,0.737,510.4,20.7,8.9,0.39,16.1,0.79,0.92
9,1.44,0.79,112.0,3,0.265,0.207,26.8,1,4.26,0.277,385.6,26.9,7.5,0.24,1.3,0.93,0.84
10,0.66,1.0,198.7,2,0.317,0.002,11.8,2,2.91,0.389,461.3,20.1,6.3,0.38,4.1,0.82,0.88
11,2.43,1.07,103.8,1,0.365,0.475,27.3,1,3.91,0.089,411.4,19.8,5.0,0.46,3.6,0.66,0.82
12,1.51,0.96,106.5,0,0.149,0.145,23.2,1,3.75,0.124,447.6,16.4,2.9,0.31,8.6,0.59,0.99
13,2.34,1.11,122.8,1,0.106,0.011,17.6,1,4.13,0.205,413.8,16.7,4.1,0.39,2.3,0.8,0.81
14,0.72,1.75,104.8,0,0.208,0.19,18.7,4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.82,0.86
15,1.82,1.49,127.0,4,0.35,0.209,27.5,1,4.15,0.081,408.5,25.1,4.6,0.35,2.3,0.92,0.99
16,1.22,1.11,116.0,4,0.248,0.104,28.3,4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.93
17,2.31,1.75,166.9,1,0.475,0.39,6.9,0,2.42,0.719,493.5,19.9,11.5,0.44,16.6,0.94,0.97
18,1.22,1.52,142.6,0,0.047,0.379,6.1,0,2.27,0.748,513.3,15.6,11.7,0.23,7.9,0.91,0.84
19,1.3,1.94,127.2,3,0.345,0.239,15.5,0,2.33,0.846,515.8,20.8,4.4,0.47,13.1,0.74,0.91
